Data;Preco_Fechamento
2014-01-01;15.830814361572266
2014-02-01;15.806865692138672
2014-03-01;15.05005168914795
2014-04-01;14.154325485229492
2014-05-01;14.016834259033203
2014-06-01;14.400992393493652
2014-07-01;16.03119659423828
2014-08-01;14.3812894821167
2014-09-01;13.223894119262695
2014-10-01;12.312747955322266
2014-11-01;11.901259422302246
2014-12-01;11.196074485778809
2015-01-01;9.509764671325684
2015-02-01;10.858809471130371
2015-03-01;9.167389869689941
2015-04-01;11.57421588897705
2015-05-01;10.585331916809082
2015-06-01;9.656146049499512
2015-07-01;9.434409141540527
2015-08-01;9.46080493927002
2015-09-01;8.75335693359375
2015-10-01;9.0067720413208
2015-11-01;7.092750549316406
2015-12-01;7.017350196838379
2016-01-01;5.234740257263184
2016-02-01;6.360317230224609
2016-03-01;8.159085273742676
2016-04-01;10.604119300842285
2016-05-01;7.658231258392334
2016-06-01;8.762266159057617
2016-07-01;9.963239669799805
2016-08-01;9.123096466064453
2016-09-01;9.59163761138916
2016-10-01;11.891260147094727
2016-11-01;15.111810684204102
2016-12-01;13.83005142211914
2017-01-01;17.43247413635254
2017-02-01;17.725004196166992
2017-03-01;16.137771606445312
2017-04-01;14.880982398986816
2017-05-01;15.209497451782227
2017-06-01;16.233909606933594
2017-07-01;17.52142906188965
2017-08-01;19.637432098388672
2017-09-01;17.84050941467285
2017-10-01;17.96925926208496
2017-11-01;19.671024322509766
2017-12-01;22.53714942932129
2018-01-01;23.451156616210938
2018-02-01;25.487930297851562
2018-03-01;23.881141662597656
2018-04-01;27.84883689880371
2018-05-01;28.9703426361084
2018-06-01;28.375247955322266
2018-07-01;31.379291534423828
2018-08-01;30.681203842163086
2018-09-01;35.215415954589844
2018-10-01;33.38459777832031
2018-11-01;31.082822799682617
2018-12-01;30.023176193237305
2019-01-01;26.78538703918457
2019-02-01;27.72728729248047
2019-03-01;29.981969833374023
2019-04-01;29.493356704711914
2019-05-01;28.845800399780273
2019-06-01;30.505908966064453
2019-07-01;29.3226375579834
2019-08-01;26.82659149169922
2019-09-01;28.10993766784668
2019-10-01;27.786157608032227
2019-11-01;29.422712326049805
2019-12-01;31.377166748046875
2020-01-01;30.377614974975586
2020-02-01;26.776042938232422
2020-03-01;26.11737060546875
2020-04-01;27.10840606689453
2020-05-01;32.027320861816406
2020-06-01;33.79184341430664
2020-07-01;36.68639373779297
2020-08-01;36.063968658447266
2020-09-01;35.71952819824219
2020-10-01;38.11924743652344
2020-11-01;49.104888916015625
2020-12-01;55.05412673950195
2021-01-01;55.36890411376953
2021-02-01;59.50505447387695
2021-03-01;61.676998138427734
2021-04-01;71.72545623779297
2021-05-01;75.5150146484375
2021-06-01;74.5084228515625
2021-07-01;72.96747589111328
2021-08-01;66.20474243164062
2021-09-01;51.149681091308594
2021-10-01;53.03401184082031
2021-11-01;51.80462646484375
2021-12-01;58.321861267089844
2022-01-01;59.89192199707031
2022-02-01;68.34210205078125
2022-03-01;70.80088806152344
2022-04-01;64.05564880371094
2022-05-01;66.30133056640625
2022-06-01;58.87981033325195
2022-07-01;53.6424674987793
2022-08-01;49.60486602783203
2022-09-01;58.27522659301758
2022-10-01;54.30339050292969
2022-11-01;69.33328247070312
2022-12-01;71.89759826660156
2023-01-01;76.71208190917969
2023-02-01;69.25271606445312
2023-03-01;65.1699447631836
2023-04-01;60.056331634521484
2023-05-01;52.930870056152344
2023-06-01;53.27096176147461
2023-07-01;57.36873245239258
2023-08-01;53.984344482421875
2023-09-01;57.749305725097656
2023-10-01;58.96274185180664
2023-11-01;63.10723114013672
2023-12-01;68.00540924072266
